Date,chanNum,Depth,Screws
20210216,93,54,0
20210216,94,61,0
20210216,95,34,0
20210216,96,59,0
20210216,97,81,0
20210216,98,74.75,0
20210216,99,78.75,0
20210216,100,81.5,0
20210216,101,76,0
20210216,102,74,0
20210216,103,70.5,0
20210216,104,61,0
20210216,105,57,0
20210216,106,31.5,0
20210216,107,56,0
20210216,108,70,0
20210216,109,70,0
20210216,110,79,0
20210216,111,68,0
20210216,112,78.25,0.5
20210216,113,71,0
20210216,114,64.25,0
20210216,115,69,0
20210216,116,29,0
20210216,117,46.5,0
20210216,118,38,0
20210216,119,63,0
20210216,120,65,0
20210216,121,69.5,0
20210216,122,69,0
20210216,123,65,0
20210216,124,55,0
20210216,125,65,0
20210216,126,28,0
20210216,127,70,0
20210216,128,64,0
20210216,129,63.5,0
20210216,130,67.5,0
20210216,131,67,0
20210216,132,73,0
20210216,133,58.75,0
20210216,134,104,0
20210216,135,29,0
20210216,136,60.5,0
20210216,137,65,0
20210216,138,62,0
20210216,139,58.25,0
20210216,140,64,0
20210216,141,59,0
20210216,142,59.75,0
20210216,143,58,0
20210216,144,28,0
20210216,145,0,0
20210216,146,0,0
20210216,147,0,0
20210216,148,0,0
20210216,149,0,0
20210216,150,0,0
20210216,151,0,0
20210216,152,0,0
20210216,153,0,0
20210216,154,0,0
20210216,155,0,0
20210216,156,0,0
20210216,157,0,0
20210216,158,0,0
20210216,159,0,0
20210216,160,0,0
20210217,1,0,0
20210217,2,0,0
20210217,3,0,0
20210217,4,61,0
20210217,5,70.25,0
20210217,6,71.75,0
20210217,7,63.5,0
20210217,8,73,0
20210217,9,58,0
20210217,10,31,0
20210217,11,30,0
20210217,12,30.5,0
20210217,13,57,0
20210217,14,51,0
20210217,15,61,0
20210217,16,61,0
20210217,17,68,0
20210217,18,55,0
20210217,19,40,0
20210217,20,44,0
20210217,21,49,0
20210217,22,32.25,0
20210217,23,29.25,0
20210217,24,54.5,0
20210217,25,77,0
20210217,26,76.5,0
20210217,27,76,0
20210217,28,70.75,0
20210217,29,100.25,0
20210217,30,77.25,0.5
20210217,31,77.75,0
20210217,32,79.25,0
20210217,33,65.5,0.5
20210217,34,66,0.5
20210217,35,23.5,0
20210217,36,70,0
20210217,37,70,0
20210217,38,101,0
20210217,39,70,0
20210217,40,107.25,0
20210217,41,70,0
20210217,42,68,0
20210217,43,75,0
20210217,44,68.5,0
20210217,45,71,0
20210217,46,43,0
20210217,47,27,0
20210217,48,72,0
20210217,49,84,0
20210217,50,90,0
20210217,51,75,0
20210217,52,75,0
20210217,53,68.5,0
20210217,54,59.5,0
20210217,55,69,0
20210217,56,60.75,0
20210217,57,69,0
20210217,58,70,2
20210217,59,41,0
20210217,60,26,0
20210217,61,98,0
20210217,62,74.5,0
20210217,63,123.75,0
20210217,64,86,0
20210217,65,76,0
20210217,66,70,0
20210217,67,67,0
20210217,68,69,0
20210217,69,67,0
20210217,70,67.5,0
20210217,71,44,0
20210217,72,30,0
20210217,73,64,0
20210217,74,74,0
20210217,75,76,0
20210217,76,64,0
20210217,77,72,0
20210217,78,74,0
20210217,79,75.5,0
20210217,80,71,0
20210217,81,76.5,0
20210217,82,66.5,0
20210217,83,63.75,0
20210217,84,31.25,0
20210217,85,87.25,0
20210217,86,77,0
20210217,87,77.25,0
20210217,88,93,0
20210217,89,77.75,0
20210217,90,76,0
20210217,91,72,0
20210217,92,66,0
20210217,93,54,0
20210217,94,61,0
20210217,95,34,0
20210217,96,59,0
20210217,97,81,0
20210217,98,74.75,0
20210217,99,78.75,0
20210217,100,81.5,0
20210217,101,76,0
20210217,102,74,0
20210217,103,70.5,0
20210217,104,61,0
20210217,105,57,0
20210217,106,31.5,0
20210217,107,56,0
20210217,108,70,0
20210217,109,70,0
20210217,110,79,0
20210217,111,68,0
20210217,112,78.25,0
20210217,113,71,0
20210217,114,65.75,1.5
20210217,115,72.5,3.5
20210217,116,29,0
20210217,117,46.5,0
20210217,118,38,0
20210217,119,63,0
20210217,120,65,0
20210217,121,69.5,0
20210217,122,69,0
20210217,123,65,0
20210217,124,55,0
20210217,125,65,0
20210217,126,28,0
20210217,127,70,0
20210217,128,65,1
20210217,129,63.5,0
20210217,130,67.5,0
20210217,131,67,0
20210217,132,73,0
20210217,133,58.75,0
20210217,134,104,0
20210217,135,29,0
20210217,136,60.5,0
20210217,137,65,0
20210217,138,62,0
20210217,139,58.25,0
20210217,140,64,0
20210217,141,59,0
20210217,142,59.75,0
20210217,143,58,0
20210217,144,28,0
20210217,145,0,0
20210217,146,0,0
20210217,147,0,0
20210217,148,0,0
20210217,149,0,0
20210217,150,0,0
20210217,151,0,0
20210217,152,0,0
20210217,153,0,0
20210217,154,0,0
20210217,155,0,0
20210217,156,0,0
20210217,157,0,0
20210217,158,0,0
20210217,159,0,0
20210217,160,0,0
20210218,1,0,0
20210218,2,0,0
20210218,3,0,0
20210218,4,61,0
20210218,5,70.25,0
20210218,6,71.75,0
20210218,7,63.5,0
20210218,8,73,0
20210218,9,58,0
20210218,10,31,0
20210218,11,30,0
20210218,12,30.5,0
20210218,13,57,0
20210218,14,51,0
20210218,15,61,0
20210218,16,61,0
20210218,17,68,0
20210218,18,55,0
20210218,19,40,0
20210218,20,44,0
20210218,21,49,0
20210218,22,32.25,0
20210218,23,29.25,0
20210218,24,54.5,0
20210218,25,77,0
20210218,26,76.5,0
